CRDSecid,AcnoMinor,Notional,InstrCode,IssueCurrency,TradeDate,MaturityDate,HiNetSedol,TransactionType,Quantity,Price,HiNetISIN,LongShort,ExchgBuyRate,
1885758248                    ,9878        ,2500000,PAYSWPOP,USD,5/17/2019,2019-11-17 00:00:00,(null),OPTIONS,2500000,(null),(null),L,(null),
1892193176                    ,9878        ,-2793514.58,PASWPCDX,EUR,5/24/2019,2020-05-20 00:00:00,(null),OPTIONS,-2500000,(null),(null),S,(null),
1892193145                    ,9878        ,229.43,CURPTOPT,USD,5/24/2019,2024-05-29 00:00:00,(null),OPTIONS,250,(null),(null),L,(null),
1880563531                    ,9878        ,2793514.58,CRDEFSWP,EUR,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,2500000,(null),(null),L,0.88944,
1882393740                    ,9878        ,725821.09,INTRTSWP,SGD,5/15/2019,2022-05-17 00:00:00,(null),SWAPS,1000000,(null),(null),L,(null),
1887196672                    ,9878        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,1,
1887196920                    ,9878        ,2000000,FITRSWP,USD,5/20/2019,2020-03-20 00:00:00,(null),SWAPS,2000000,(null),(null),L,1,
1892193030                    ,9878        ,-2500000,ZCINSWP,USD,5/24/2019,2021-05-29 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null),
1885758174                    ,9539        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S,(null),
1880563541                    ,9539        ,-2500000,CRDEFSWP,USD,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,-2500000,96.75234268,(null),S,1,
1882394480                    ,9539        ,-35875.73,INTRTSWP,INR,5/15/2019,2021-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null),
1882394258                    ,9539        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S,(null),
1887196796                    ,9539        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,0.89566,
1887196672                    ,9539        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S,1,
1881712575                    ,9539        ,1500000,CMBXSWP,USD,5/28/2019,2019-05-28 00:00:00,(null),SWAPS,1500000,(null),(null),S,1,
1885758174                    ,7AJF        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S,(null),
